Name,Enthalpy,vDW,HBD,HBA,Lost Water entropy,Side chain conformational entropy
ZINC26617169,300.885,295.399,-6.52056,12.006,51.0,-14.870000000000001
ZINC12916602,300.923,308.455,-8.29054,0.758752,45.0,-14.66
ZINC26617169,300.974,320.185,-6.85261,-12.358,51.0,-14.91
ZINC24705245,300.977,259.681,1.16107,40.1349,48.0,-13.620000000000001
ZINC15434705,300.982,141.179,63.5505,96.2527,39.0,-12.02
BDB5459,301.008,309.435,-4.98062,-3.44664,66.0,-12.85
ZINC21326306,301.036,282.412,10.7819,7.84162,54.0,-11.72
ZINC04229672,301.043,316.422,-4.63279,-10.7461,54.0,-11.78
ZINC15695037,301.078,249.344,23.5148,28.2187,18.0,-8.44
ZINC13921987,301.083,308.547,-1.85045,-5.61364,45.0,-12.86
ZINC26880181,301.089,104.001,108.414,88.674,36.0,-15.950000000000001
ZINC28477336,301.105,299.927,-6.15795,7.33664,66.0,-15.93
ZINC05842609,301.134,274.604,35.4333,-8.90343,48.0,-12.030000000000001
ZINC12290721,301.135,237.84,-5.76943,69.0646,48.0,-17.1
ZINC22262399,301.139,121.363,7.00978,172.766,39.0,-9.13
ZINC14267627,301.202,302.177,-0.975025,0,39.0,-13.870000000000001
ZINC11227620,301.244,224.731,-7.60649,84.1196,66.0,-7.99
ZINC31148075,301.269,113.846,194.404,-6.98188,54.0,-15.82
ZINC01650029,301.302,309.402,-5.75057,-2.34929,66.0,-15.27
ZINC15669728,301.338,305.982,-5.2713,0.627253,60.0,-15.23
ZINC14001547,301.417,248.205,-8.32405,61.5367,33.0,-13.780000000000001
ZINC21326306,301.456,316.703,-6.24806,-8.9991,30.0,-12.88
ZINC30704377,301.474,106.136,42.5933,152.745,66.0,-11.17
ZINC16994292,301.532,307.21,-2.09539,-3.5824,66.0,-11.52
ZINC07719367,301.614,127.761,41.069,132.784,36.0,-17.61
ZINC04899398,301.633,264.158,-0.762094,38.2378,48.0,-14.77
ZINC01934120,301.673,276.146,-7.52016,33.0474,48.0,-14.42
ZINC26616407,301.69,306.932,-2.93707,-2.30526,57.0,-15.48
ZINC10509164,301.733,274.12,1.52834,26.0847,21.0,-8.790000000000001
ZINC08893836,301.743,272.669,11.3711,17.7028,42.0,-18.63
ZINC23463036,301.745,318.415,-2.98692,-13.6836,33.0,-18.51
ZINC25708876,301.75,308.129,-4.18871,-2.18972,51.0,-11.93
ZINC24217936,301.752,287.086,8.12578,6.54027,33.0,-13.24
ZINC31875801,301.777,229.303,-1.40352,73.8769,51.0,-15.030000000000001
ZINC05166718,301.778,195.602,-1.46941,107.645,57.0,-13.040000000000001
ZINC07400412,301.783,237.994,33.6885,30.1006,39.0,-15.67
ZINC26735806,301.811,248.243,3.71752,49.8505,63.0,-18.61
ZINC09513359,301.86,304.098,-2.23753,0,57.0,-12.36
ZINC18070554,301.861,268.093,-1.56686,35.334,42.0,-13.34
ZINC13647785,301.866,277.894,27.2468,-3.27513,57.0,-14.89
ZINC01934120,301.872,276.095,-7.49153,33.2688,48.0,-14.42
ZINC06009404,301.889,292.023,4.95451,4.91149,42.0,-16.26
ZINC02553817,301.911,194.728,23.9501,83.2331,24.0,-13.19
ZINC25484335,301.92,292.625,-5.07954,14.3737,57.0,-13.4
ZINC14035055,301.927,286.054,-2.53984,18.4134,33.0,-12.44
ZINC25245897,301.942,145.857,68.8713,87.2143,66.0,-14.58
ZINC10118814,301.966,287.485,6.58874,7.89276,42.0,-11.33
ZINC06430824,302.024,129.371,84.0523,88.6002,54.0,-12.48
ZINC07098927,302.024,305.277,0,-3.25318,30.0,-14.56
ZINC31904325,302.046,264.619,19.0544,18.3732,24.0,-13.65
ZINC14258569,302.072,256.788,36.6783,8.60606,27.0,-14.71
ZINC21287427,302.084,280.117,14.2298,7.73794,54.0,-12.88
ZINC19324236,302.086,308.311,-5.53808,-0.687212,51.0,-14.21
BDB13915,302.141,267.182,-1.91796,36.8777,45.0,-11.77
ZINC31670769,302.218,314.728,-7.80544,-4.70503,27.0,-14.07
ZINC01934120,302.272,276.169,-7.45029,33.5531,48.0,-15.88
ZINC16864107,302.279,259.253,8.6148,34.4121,39.0,-16.080000000000002
ZINC26010244,302.333,244.812,-2.46291,59.9845,60.0,-13.55
ZINC01977251,302.347,127.991,-1.78727,176.143,18.0,-7.45
ZINC07400412,302.408,214.241,-4.27437,92.4422,27.0,-14.39
ZINC04840135,302.424,283.598,3.95013,14.8763,48.0,-14.19
ZINC20930311,302.433,131.935,85.159,85.3388,42.0,-13.77
ZINC27443726,302.457,68.4519,-1.63157,235.636,30.0,-10.47
ZINC06009404,302.474,303.171,6.25747,-6.95482,39.0,-12.82
ZINC10197754,302.485,231.079,71.2341,0.171813,72.0,-18.09
ZINC05525510,302.561,90.1806,82.422,129.958,66.0,-14.59
ZINC22453042,302.59,276.979,21.9221,3.68795,66.0,-11.74
ZINC31467281,302.595,171.825,-4.89165,135.661,54.0,-8.790000000000001
ZINC10706251,302.643,310.562,-3.7435,-4.17524,60.0,-15.42
BDB13906,302.651,215.362,-2.90921,90.1984,60.0,-15.14
ZINC09667687,302.691,144.311,-1.45843,159.839,45.0,-14.14
ZINC01934120,302.702,276.785,-7.5293,33.4468,48.0,-14.42
ZINC18070554,302.713,255.315,-2.23379,49.632,48.0,-14.31
ZINC24891405,302.717,218.674,87.5374,-3.49399,63.0,-12.83
ZINC26454406,302.728,188.854,39.6739,74.2002,39.0,-16.14
ZINC01290250,302.743,193.031,56.381,53.3308,33.0,-9.17
ZINC30937390,302.753,322.838,-7.8175,-12.2668,39.0,-13.69
BDB13904,302.757,257.099,15.8217,29.8364,51.0,-20.41
ZINC20425160,302.788,307.83,-0.573265,-4.46809,18.0,-6.09
ZINC27305927,302.801,195.48,108.967,-1.64621,81.0,-14.63
ZINC25224126,302.814,219.675,-3.46353,86.6027,51.0,-17.39
ZINC17309401,302.815,131.278,87.1656,84.3707,42.0,-12.41
ZINC22660346,302.847,311.602,-2.015,-6.74003,45.0,-16.06
ZINC04840135,302.956,304.913,-1.09862,-0.858827,24.0,-14.08
ZINC28796235,302.97,312.364,-5.61521,-3.77888,54.0,-10.22
ZINC22453042,302.987,276.788,22.4678,3.73042,66.0,-11.74
ZINC10911340,302.991,213.414,1.2199,88.3572,60.0,-12.66
ZINC01977251,303.001,271.243,-0.559804,32.3176,36.0,-17.11
ZINC18065318,303.003,211.712,-1.16624,92.4573,54.0,-8.67
ZINC29298484,303.051,18.3162,-0.870999,285.606,45.0,-16.03
ZINC19708299,303.142,309.59,-3.45897,-2.98945,45.0,-15.8
ZINC07719367,303.152,237.743,33.8235,31.5853,39.0,-10.61
BDB13916,303.163,320.289,-8.65456,-8.47148,45.0,-13.040000000000001
ZINC01934120,303.174,276.542,-7.47005,34.102,48.0,-14.42
ZINC26010244,303.182,198.874,93.108,11.2001,45.0,-15.98
ZINC18323311,303.228,227.928,-2.71241,78.0126,27.0,-12.07
ZINC29709746,303.275,315.407,-4.61829,-7.51308,54.0,-10.61
ZINC29385926,303.303,229.526,-8.83237,82.6097,45.0,-12.030000000000001
ZINC20880665,303.31,326.279,-11.4669,-11.502,36.0,-15.96
ZINC23410760,303.311,272.725,-4.3543,34.9405,63.0,-14.65
ZINC09381903,303.318,171.098,22.5006,109.719,54.0,-12.88
ZINC28631822,303.322,188.328,-4.49405,119.488,66.0,-17.87
ZINC18065318,303.328,245.063,-1.15675,59.422,66.0,-17.16
ZINC02911450,303.44,316.366,-3.54657,-9.37921,66.0,-10.120000000000001
ZINC26765018,303.456,259.431,41.4026,2.62281,81.0,-20.45
ZINC22543647,303.472,311.601,-1.97114,-6.15813,33.0,-14.98
ZINC20923200,303.476,218.021,62.5477,22.9081,42.0,-13.92
ZINC07238988,303.578,276.132,1.41619,26.0291,75.0,-15.370000000000001
ZINC18811785,303.586,249.699,-0.530447,54.4176,39.0,-12.64
ZINC18943128,303.587,286.841,-2.66631,19.4126,36.0,-14.72
ZINC09941797,303.588,273.987,11.1017,18.4989,54.0,-16.21
ZINC15093334,303.591,63.1423,-1.7272,242.176,78.0,-16.580000000000002
ZINC05166718,303.611,296.138,-0.895619,8.3693,57.0,-14.92
BDB5448,303.634,293.609,5.4415,4.58356,48.0,-14.16
ZINC18010993,303.644,281.395,33.5817,-11.3331,42.0,-14.1
ZINC30594800,303.694,307.948,-4.52353,0.269339,51.0,-15.93
ZINC26272409,303.695,107.674,-2.61482,198.636,42.0,-11.77
ZINC10491483,303.813,195.159,28.2417,80.4119,39.0,-12.52
ZINC10480387,303.854,308.206,-3.62377,-0.728128,42.0,-19.17
ZINC17089744,303.9,117.34,-2.11026,188.67,30.0,-8.65
ZINC19953225,303.92,131.114,-3.92207,176.728,51.0,-13.38
ZINC10535795,303.924,271.846,19.547,12.5312,42.0,-16.82
ZINC02745118,303.943,306.082,-1.32512,-0.814459,6.0,-12.48
ZINC26617169,303.999,310.751,-6.97861,0.227312,45.0,-13.870000000000001
ZINC10731590,304.007,305.553,-0.705321,-0.840471,36.0,-15.530000000000001
ZINC09396555,304.02,296.389,-1.60048,9.2316,63.0,-14.43
ZINC31916306,304.043,166.511,9.20033,128.331,57.0,-16.75
ZINC08582695,304.055,138.56,82.8443,82.6516,42.0,-13.94
ZINC07744322,304.142,288.955,8.72418,6.46292,30.0,-13.07
BDB5451,304.146,303.198,-5.06484,6.01282,57.0,-14.16
BDB5448,304.151,293.954,5.55819,4.63929,45.0,-13.08
ZINC31891915,304.152,311.618,-2.19335,-5.27301,57.0,-17.61
BDB13916,304.219,310.329,-5.24096,-0.868926,51.0,-11.33
ZINC14566381,304.268,298.013,-3.66493,9.92002,33.0,-13.42
ZINC04927456,304.273,280.193,1.96533,22.1141,36.0,-14.93
ZINC31671027,304.407,172.346,32.931,99.1298,54.0,-13.27
ZINC23418871,304.447,212.886,39.0607,52.5004,30.0,-18.66
ZINC14951257,304.49,295.339,4.31411,4.83694,42.0,-11.38
BDB5451,304.518,303.488,-5.06127,6.09123,57.0,-14.16
ZINC24296899,304.518,306.957,-0.670778,-1.7681,54.0,-13.64
ZINC25665353,304.571,235.533,-12.4454,81.4839,63.0,-16.45
ZINC30937390,304.613,239.971,72.6385,-7.99651,45.0,-8.0
ZINC09522037,304.636,313.087,-4.90428,-3.54641,51.0,-15.02
ZINC26208276,304.721,299.249,-3.25868,8.73123,57.0,-16.5
ZINC31875801,304.741,304.565,1.17462,-0.998803,54.0,-12.08
ZINC15231348,304.754,266.297,12.8239,25.633,45.0,-14.92
ZINC12725166,304.755,168.965,22.3163,113.474,33.0,-13.92
BDB13911,304.756,304.125,-7.30044,7.93176,66.0,-13.44
ZINC04113031,304.757,314.315,-5.56002,-3.99854,51.0,-18.95
ZINC31148075,304.766,313.041,-3.86769,-4.40729,48.0,-20.07
ZINC04685065,304.818,305.106,-0.545983,0.258479,84.0,-20.05
ZINC02745118,304.85,282.047,-0.0168569,22.8203,51.0,-17.32
ZINC06845962,304.851,279.832,11.6371,13.3825,54.0,-15.94
BDB5447,304.928,267.088,37.7578,0.0823293,60.0,-13.07
ZINC16682009,304.938,291.351,-6.40766,19.9946,66.0,-13.11
ZINC26903002,304.942,255.176,22.8163,26.9499,57.0,-19.63
ZINC26764358,304.98,283.442,-1.43306,22.9717,33.0,-11.120000000000001
ZINC19854444,304.997,123.25,89.3525,92.3952,54.0,-17.31
ZINC31761659,305.003,308.156,-0.677339,-2.47542,48.0,-16.27
ZINC27731573,305.011,96.5805,0.434058,207.997,42.0,-11.41
ZINC15951912,305.037,166.576,-10.5707,149.032,42.0,-10.55
BDB5451,305.078,300.538,-4.90882,9.44882,57.0,-14.16
ZINC10491483,305.102,20.7502,151.833,132.518,39.0,-12.93
ZINC29747456,305.193,320.015,-8.19081,-6.63171,45.0,-15.32
ZINC26617169,305.211,299.168,4.16442,1.8793,33.0,-14.35
ZINC30793746,305.221,188.717,8.31009,108.193,36.0,-13.31
ZINC02794487,305.232,320.514,-5.11195,-10.1694,33.0,-14.59
ZINC11913967,305.253,312.479,-2.22674,-4.99927,51.0,-18.11
ZINC31066901,305.301,299.639,10.1807,-4.51851,30.0,-19.72
ZINC16644882,305.307,308.363,-0.408157,-2.64788,54.0,-11.9
ZINC23452226,305.314,226.128,-5.45372,84.6391,51.0,-14.290000000000001
ZINC12823459,305.32,303.076,-5.00752,7.25105,42.0,-9.58
ZINC16682009,305.324,312.001,-1.21875,-5.45844,48.0,-14.05
ZINC20762624,305.382,313.313,-1.48993,-6.44107,54.0,-14.15
ZINC15959297,305.463,144.887,2.75594,157.82,60.0,-18.240000000000002
ZINC00695485,305.463,318.833,-5.4909,-7.8791,54.0,-6.62
ZINC21918161,305.521,296.714,11.2174,-2.4103,33.0,-19.78
ZINC21635391,305.615,244.042,-10.1083,71.6812,60.0,-7.49
ZINC07098927,305.627,308.916,0,-3.28879,30.0,-14.56
BDB5448,305.655,294.921,5.79731,4.93642,51.0,-14.16
ZINC29976590,305.717,303.87,5.84444,-3.99714,39.0,-16.92
ZINC08817508,305.724,321.544,-5.83529,-9.98468,54.0,-13.58
ZINC06009404,305.741,264.512,19.8039,21.4245,54.0,-11.36
ZINC16487833,305.744,30.2306,2.49532,273.018,39.0,-17.27
ZINC24880873,305.745,312.28,-3.84202,-2.69263,51.0,-10.61
ZINC24880873,305.761,311.41,-3.02335,-2.62572,54.0,-10.61
ZINC14610760,305.797,312.234,-2.19462,-4.24291,63.0,-12.19
ZINC18323311,305.816,314.793,-2.35018,-6.6263,27.0,-14.27
ZINC03376318,305.826,210.572,62.2871,32.9663,75.0,-13.44
ZINC08322376,305.873,208.224,46.3085,51.3407,42.0,-8.94
ZINC25347454,305.903,255.507,-1.41444,51.8113,45.0,-12.280000000000001
ZINC28368352,305.964,29.2351,8.20147,268.527,57.0,-14.65
ZINC30981806,305.97,160.205,15.2193,130.546,78.0,-13.77
ZINC26617169,306.011,258.923,-3.31551,50.4035,57.0,-12.44
ZINC02745118,306.014,302.389,1.46826,2.15664,24.0,-14.97
ZINC02542947,306.015,245.402,37.0721,23.5416,75.0,-12.620000000000001
ZINC06009404,306.028,227.337,45.7277,32.964,42.0,-16.26
ZINC22867353,306.102,93.6317,104.111,108.36,39.0,-20.37
ZINC20292762,306.114,210.77,20.2812,75.0622,57.0,-10.58
ZINC02940448,306.117,185.626,-6.72994,127.22,57.0,-7.8
ZINC09113910,306.124,212.149,5.0887,88.8858,48.0,-14.57
ZINC01290250,306.154,271.252,-0.593499,35.4954,36.0,-11.36
ZINC14566381,306.199,301.659,-2.79047,7.33058,39.0,-15.3
ZINC10535795,306.247,220.539,42.8701,42.8375,24.0,-12.6
ZINC05256676,306.297,317.838,-7.53929,-4.00125,30.0,-16.34
ZINC13086566,306.303,282.516,-0.620586,24.4075,51.0,-18.94
ZINC30505968,306.31,218.238,88.7728,-0.701248,42.0,-11.94
ZINC15972157,306.34,314.701,-4.64099,-3.72036,48.0,-11.0
ZINC07973719,306.387,222.114,82.5502,1.72333,21.0,-9.11
ZINC03376318,306.395,124.546,115.785,66.0637,54.0,-15.52
ZINC04743451,306.4,3.21557,67.2737,235.911,45.0,-17.14
ZINC18135386,306.4,238.54,63.6186,4.2421,48.0,-14.07
ZINC23760803,306.473,175.288,105.036,26.1485,57.0,-17.2
ZINC29314164,306.535,33.7614,-3.94835,276.722,66.0,-15.06
ZINC10509164,306.766,196.514,111.576,-1.3241,63.0,-10.05
ZINC26424829,306.768,154.41,154.923,-2.56574,21.0,-7.96
ZINC11745344,306.768,267.199,-7.83005,47.3988,63.0,-14.09
ZINC02618726,306.785,318.456,-3.55357,-8.11711,24.0,-14.39
ZINC09541466,306.836,254.988,53.1591,-1.31054,63.0,-11.75
ZINC09513359,306.843,279.286,27.5573,0,45.0,-11.74
ZINC31904325,306.887,268.685,18.7068,19.4949,45.0,-12.67
ZINC25860557,306.904,276.44,-5.61619,36.08,42.0,-10.55
ZINC06009404,306.927,196.372,51.9467,58.6084,42.0,-10.14
ZINC12710621,306.965,286.573,28.1107,-7.71822,51.0,-14.69
ZINC19313476,307.013,308.599,-2.01736,0.431591,54.0,-16.32
ZINC29749315,307.059,322.949,-7.62441,-8.26565,21.0,-14.38
ZINC21752934,307.076,160.803,12.3134,133.959,66.0,-10.51
ZINC05842609,307.082,222.528,3.45044,81.1038,60.0,-15.89
ZINC27445499,307.113,314.647,-2.37193,-5.16242,24.0,-11.290000000000001
ZINC10716126,307.114,311.822,-3.49514,-1.21282,78.0,-15.76
ZINC07400412,307.16,240.295,35.0359,31.8299,39.0,-15.67
ZINC22660346,307.171,311.152,-1.68211,-2.29972,30.0,-9.56
ZINC26773506,307.231,301.546,-4.48643,10.1706,54.0,-13.040000000000001
ZINC02662101,307.25,315.383,-3.48627,-4.64706,51.0,-12.790000000000001
ZINC15434705,307.32,302.494,11.4187,-6.59226,48.0,-14.5
BDB13900,307.334,218.299,89.4527,-0.417722,54.0,-9.15
BDB13901,307.349,218.314,89.4528,-0.41777,54.0,-9.15
ZINC16968157,307.356,300.077,-1.59753,8.87726,51.0,-12.33
ZINC16749053,307.408,304.925,5.16278,-2.68009,39.0,-13.950000000000001
ZINC06845962,307.42,314.382,-3.1118,-3.85006,45.0,-12.040000000000001
ZINC18058858,307.422,311.495,-1.95874,-2.11393,24.0,-15.94
ZINC08322376,307.456,204.305,46.9975,56.1531,42.0,-8.94
ZINC10480387,307.475,299.94,-1.81795,9.35285,36.0,-10.21
BDB5451,307.485,309.751,-5.22571,2.9591,57.0,-14.16
ZINC12224810,307.518,63.8783,127.716,115.924,42.0,-14.63
ZINC17244099,307.528,71.49,-12.3766,248.415,66.0,-16.55
ZINC16923173,307.556,314.093,-2.14817,-4.38876,42.0,-12.18
ZINC31843170,307.625,314.469,-2.50605,-4.338,39.0,-11.81
ZINC21841837,307.627,203.513,87.3996,16.7153,39.0,-12.99
ZINC09509020,307.643,286.912,0.48797,20.243,66.0,-15.17
ZINC23189181,307.673,309.538,-0.103286,-1.76119,21.0,-11.69
ZINC31952331,307.721,98.4866,63.3937,145.84,39.0,-13.26
ZINC27082700,307.782,315.344,-7.56137,0,48.0,-12.92
ZINC31904325,307.836,265.31,20.8453,21.6806,45.0,-12.67
ZINC21899611,307.848,306.706,-1.74257,2.88477,51.0,-12.97
ZINC06102500,307.879,149.356,-3.69989,162.224,60.0,-15.68
ZINC20880665,307.916,314.913,-2.92575,-4.07143,69.0,-17.54
ZINC23226903,307.923,308.274,-0.35116,0,9.0,-9.370000000000001
ZINC16682009,308.091,319.248,-1.99747,-9.15988,78.0,-14.98
ZINC22842861,308.132,336.553,-13.6386,-14.7827,48.0,-13.88
ZINC18323311,308.135,289.686,14.7551,3.69401,39.0,-16.01
ZINC16309511,308.144,295.818,-4.44417,16.7706,63.0,-13.950000000000001
ZINC08811269,308.146,81.0507,83.2789,143.816,69.0,-14.38
ZINC30550114,308.151,296.855,15.6304,-4.3346,51.0,-16.080000000000002
ZINC26617169,308.164,321.619,-4.58433,-8.87032,39.0,-15.94
ZINC15190104,308.183,303.154,3.59252,1.437,48.0,-16.19
ZINC27731573,308.192,123.478,95.2422,89.4719,30.0,-14.99
ZINC15693133,308.195,41.8237,-1.06636,267.437,51.0,-12.38
ZINC05104248,308.219,307.75,0.856452,-0.38793,57.0,-14.8
ZINC21662203,308.238,225.549,87.1296,-4.44012,54.0,-19.900000000000002
ZINC02662101,308.275,-1.81853,90.4189,219.674,36.0,-9.0
ZINC31924453,308.305,315.45,-4.82808,-2.31655,33.0,-11.28
ZINC25225999,308.31,306.85,-2.46475,3.92411,36.0,-14.98
ZINC09295543,308.314,66.1095,0.826641,241.378,48.0,-13.76
ZINC26795175,308.344,35.6996,0.75429,271.89,60.0,-10.49
ZINC14001547,308.366,302.542,9.57456,-3.75075,27.0,-12.51
ZINC31066901,308.395,215.922,98.4179,-5.94508,54.0,-15.43
ZINC09948922,308.427,123.336,-4.06145,189.152,48.0,-12.76
ZINC24933150,308.439,258.92,2.58968,46.9289,60.0,-10.0
ZINC02964465,308.498,-5.32349,89.1723,224.649,51.0,-16.26
ZINC28291742,308.498,127.309,5.83566,175.354,45.0,-17.68
ZINC17371154,308.544,201.16,-0.45345,107.838,45.0,-15.51
ZINC16644882,308.579,308.795,4.45102,-4.66691,54.0,-11.89
ZINC20912340,308.6,163.589,146.81,-1.79939,69.0,-16.07
ZINC26035308,308.636,268.752,30.0625,9.82135,39.0,-8.67
ZINC05842609,308.669,296.17,20.1814,-7.68228,48.0,-11.6
ZINC29433170,308.754,189.168,1.91697,117.67,60.0,-15.64
ZINC29385926,308.784,276.708,10.8921,21.1836,33.0,-14.91
BDB13900,308.795,284.569,29.0854,-4.85953,57.0,-8.72
ZINC02745118,308.797,282.624,0.188992,25.9848,51.0,-17.32
ZINC00982363,308.833,155.419,158.493,-5.07839,36.0,-15.77
ZINC15275932,308.921,325.958,-5.78721,-11.25,51.0,-15.34
BDB5451,309,298.838,5.50599,4.65563,48.0,-14.16
ZINC07400412,309.042,254.266,28.8819,25.894,39.0,-15.67
ZINC31916306,309.048,311.126,-0.626003,-1.4516,45.0,-13.85
ZINC17204260,309.112,246.452,-2.09029,64.7501,78.0,-17.97
ZINC25665353,309.113,315.06,-3.69725,-2.24915,39.0,-9.9
BDB5456,309.117,221.909,-2.65011,89.8578,48.0,-13.05
BDB27963,309.157,307.615,1.7659,-0.223551,51.0,-10.58
ZINC23740603,309.262,313.699,-3.22526,-1.2116,54.0,-12.81
ZINC31874377,309.325,302.169,-2.78357,9.94022,60.0,-17.830000000000002
ZINC30600562,309.333,292.97,-3.63043,19.994,57.0,-8.25
ZINC09669156,309.346,101.908,101.953,105.485,30.0,-11.38
ZINC15935229,309.383,308.337,-1.24501,2.29173,75.0,-13.35
BDB13901,309.385,284.768,29.4856,-4.86853,57.0,-8.72
ZINC19313476,309.469,211.064,5.45398,92.9505,75.0,-15.290000000000001
ZINC00672798,309.483,117.805,-0.568522,192.247,42.0,-12.17
ZINC30693172,309.506,155.515,-1.68185,155.673,27.0,-14.77
ZINC31904325,309.609,269.401,19.6816,20.5264,45.0,-12.67
ZINC12224810,309.64,275.116,0.191126,34.3328,42.0,-13.43
ZINC09398885,309.646,56.6737,170.62,82.3516,45.0,-14.81
ZINC15434705,309.659,271.764,10.2191,27.6754,33.0,-12.77
ZINC27445499,309.68,19.1952,37.2197,253.265,66.0,-16.080000000000002
ZINC15103045,309.686,308.86,5.32442,-4.49839,33.0,-18.27
ZINC01058176,309.731,212.757,-3.54653,100.521,39.0,-13.23
ZINC10736068,309.75,182.078,8.74258,118.93,54.0,-14.26
ZINC04715688,309.77,301.875,4.0161,3.87839,60.0,-10.870000000000001
ZINC30505968,309.773,224.97,88.4598,-3.65647,51.0,-15.23
ZINC22926646,309.778,256.616,-2.50553,55.6671,42.0,-15.35
ZINC02204352,309.803,258.572,-1.11277,52.344,42.0,-12.15
ZINC10122897,309.816,294.779,2.98244,12.0546,54.0,-15.41
ZINC31148075,309.82,296.979,5.19346,7.64666,69.0,-16.16
ZINC27450238,309.849,321.965,-4.65741,-7.45896,42.0,-10.07
ZINC21662203,309.924,310.043,-3.58975,3.47135,45.0,-14.94
ZINC31476939,309.946,282.032,5.20562,22.7088,36.0,-9.39
BDB5451,309.983,299.211,5.81542,4.95634,51.0,-14.16
ZINC01961255,310.008,296.588,13.3537,0.0663084,27.0,-17.59
BDB5439,310.03,322.477,-6.93597,-5.51035,69.0,-12.66
ZINC04459775,310.062,8.62806,150.438,150.996,12.0,-9.48
ZINC04743451,310.076,267.264,24.0701,18.7414,30.0,-15.09
ZINC27605261,310.089,30.9291,138.131,141.029,42.0,-13.92
ZINC05381959,310.096,309.173,-7.44278,8.36578,48.0,-15.74
ZINC23226903,310.114,312.541,-2.42713,0,36.0,-13.67
ZINC21326306,310.151,177.62,65.0195,67.5116,48.0,-12.88
ZINC30937390,310.218,307.817,1.5991,0.801994,48.0,-8.96
ZINC08322376,310.227,93.1737,116.023,101.03,45.0,-11.91
ZINC30623883,310.252,310.33,3.62484,-3.7028,27.0,-11.64
BDB27961,310.26,308.34,2.1511,-0.231303,51.0,-10.58
ZINC22926646,310.268,241.294,0.200757,68.7734,36.0,-16.71
ZINC15695037,310.318,325.419,-7.3702,-7.73077,39.0,-14.26
ZINC04698123,310.351,299.159,-7.14942,18.342,57.0,-13.26
ZINC02932738,310.359,126.949,87.5102,95.9005,54.0,-15.94
ZINC29172143,310.375,323.617,-3.79284,-9.44992,48.0,-13.93
ZINC14951257,310.384,316.152,-1.6346,-4.13336,39.0,-20.69
ZINC30264345,310.393,299.744,-1.5526,12.2013,36.0,-15.370000000000001
ZINC09948922,310.428,148.897,-6.33352,167.864,66.0,-11.03
ZINC11612972,310.497,199.907,-3.99994,114.591,36.0,-16.09
ZINC21841837,310.509,211.015,10.6758,88.8182,36.0,-14.040000000000001
BDB13900,310.557,97.7987,213.638,-0.879466,45.0,-13.950000000000001
ZINC16968157,310.559,186.838,-2.71004,126.431,51.0,-19.8
ZINC09658192,310.609,317.194,-1.04743,-5.53785,30.0,-16.22
ZINC04698123,310.615,180.887,141.336,-11.6073,54.0,-18.63
ZINC08893836,310.627,311.475,0.997862,-1.84626,36.0,-17.73
ZINC31148075,310.632,221.857,94.1042,-5.32925,81.0,-15.950000000000001
ZINC14966501,310.642,321.389,-4.344,-6.4033,45.0,-12.34
ZINC06009404,310.691,314.659,-1.59505,-2.37292,39.0,-17.05
BDB5446,310.711,170.93,68.7103,71.071,51.0,-19.43
ZINC14566381,310.744,216.962,-7.64874,101.431,42.0,-15.16
ZINC07719367,310.763,193.841,50.3184,66.6036,33.0,-17.51
ZINC31843170,310.87,188.813,39.2041,82.8533,39.0,-14.69
ZINC23463036,310.893,316.276,-0.641257,-4.74216,24.0,-9.64
ZINC16026894,310.917,143.56,78.6912,88.6658,60.0,-10.22
ZINC15951912,310.917,310.832,-1.30883,1.39373,39.0,-16.89
ZINC09113910,310.969,320.34,-3.52488,-5.84608,33.0,-13.36
ZINC18004898,310.973,288.061,7.10445,15.807,57.0,-15.88
ZINC12600967,310.988,113.107,84.0595,113.821,48.0,-14.43
ZINC12578068,310.999,202.744,17.014,91.2411,57.0,-14.55
ZINC01835464,311.015,116.339,189.868,4.80861,66.0,-11.48
ZINC26010244,311.031,276.159,-7.58646,42.4588,48.0,-16.91
ZINC30726044,311.043,274.499,42.4653,-5.9205,51.0,-9.870000000000001
ZINC19854444,311.054,189.071,-2.94214,124.924,42.0,-15.6
ZINC22073515,311.08,284.512,5.40262,21.1651,48.0,-13.89
ZINC05525510,311.084,171.211,-2.3474,142.22,45.0,-11.200000000000001
ZINC31924453,311.107,313.093,-1.04321,-0.942616,24.0,-14.01
ZINC26606200,311.136,141.003,170.481,-0.347847,42.0,-9.52
ZINC12600967,311.162,177.801,92.3483,41.0133,48.0,-15.59
ZINC23298889,311.185,222.249,38.8181,50.1173,24.0,-16.78
ZINC12224810,311.199,222.301,-0.571512,89.4698,36.0,-13.530000000000001
BDB5447,311.201,305.376,8.43352,-2.60857,60.0,-13.07
ZINC03376318,311.203,243.155,36.2864,31.7617,75.0,-13.44
ZINC11227620,311.249,-2.74209,-5.14825,319.139,48.0,-15.68
ZINC07238988,311.251,138.12,-3.08206,176.213,69.0,-14.950000000000001
ZINC00718631,311.257,134.333,88.8719,88.0526,51.0,-13.83
ZINC20175511,311.308,231.788,63.9845,15.535,81.0,-17.37
ZINC31952331,311.327,234.942,34.4785,41.9066,33.0,-11.200000000000001
ZINC28951507,311.334,67.7856,-4.94791,248.496,54.0,-17.6
ZINC29709746,311.422,280.481,0.367244,30.5732,24.0,-9.76
ZINC15190104,311.425,309.457,-0.816744,2.785,54.0,-11.99
ZINC02204352,311.455,313.977,-2.46515,-0.056797,66.0,-10.58
